"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///angular/bundles/swiper_angular.umd.js:324:21:324:23""]] to [[""target""|""relative:///angular/bundles/swiper_angular.umd.js:326:17:326:22""]] without guarding against prototype pollution.","/angular/bundles/swiper_angular.umd.js","326","17","326","22"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///angular/bundles/swiper_angular.umd.js:324:21:324:23""]] to [[""target""|""relative:///angular/bundles/swiper_angular.umd.js:336:17:336:22""]] without guarding against prototype pollution.","/angular/bundles/swiper_angular.umd.js","336","17","336","22"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///angular/esm2015/angular/src/utils/utils.js:5:17:5:19""]] to [[""target""|""relative:///angular/esm2015/angular/src/utils/utils.js:7:13:7:18""]] without guarding against prototype pollution.","/angular/esm2015/angular/src/utils/utils.js","7","13","7","18"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///angular/esm2015/angular/src/utils/utils.js:5:17:5:19""]] to [[""target""|""relative:///angular/esm2015/angular/src/utils/utils.js:17:13:17:18""]] without guarding against prototype pollution.","/angular/esm2015/angular/src/utils/utils.js","17","13","17","18"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///angular/fesm2015/swiper_angular.js:10:17:10:19""]] to [[""target""|""relative:///angular/fesm2015/swiper_angular.js:12:13:12:18""]] without guarding against prototype pollution.","/angular/fesm2015/swiper_angular.js","12","13","12","18"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///angular/fesm2015/swiper_angular.js:10:17:10:19""]] to [[""target""|""relative:///angular/fesm2015/swiper_angular.js:22:13:22:18""]] without guarding against prototype pollution.","/angular/fesm2015/swiper_angular.js","22","13","22","18"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///cjs/react/utils.js:16:15:16:17""]] to [[""target""|""relative:///cjs/react/utils.js:17:45:17:50""]] without guarding against prototype pollution.","/cjs/react/utils.js","17","45","17","50"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///cjs/react/utils.js:16:15:16:17""]] to [[""target""|""relative:///cjs/react/utils.js:20:7:20:12""]] without guarding against prototype pollution.","/cjs/react/utils.js","20","7","20","12"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///cjs/svelte/utils.js:16:15:16:17""]] to [[""target""|""relative:///cjs/svelte/utils.js:17:45:17:50""]] without guarding against prototype pollution.","/cjs/svelte/utils.js","17","45","17","50"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///cjs/svelte/utils.js:16:15:16:17""]] to [[""target""|""relative:///cjs/svelte/utils.js:20:7:20:12""]] without guarding against prototype pollution.","/cjs/svelte/utils.js","20","7","20","12"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///cjs/vue/utils.js:16:15:16:17""]] to [[""target""|""relative:///cjs/vue/utils.js:17:45:17:50""]] without guarding against prototype pollution.","/cjs/vue/utils.js","17","45","17","50"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///cjs/vue/utils.js:16:15:16:17""]] to [[""target""|""relative:///cjs/vue/utils.js:20:7:20:12""]] without guarding against prototype pollution.","/cjs/vue/utils.js","20","7","20","12"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///esm/react/utils.js:6:15:6:17""]] to [[""target""|""relative:///esm/react/utils.js:7:45:7:50""]] without guarding against prototype pollution.","/esm/react/utils.js","7","45","7","50"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///esm/react/utils.js:6:15:6:17""]] to [[""target""|""relative:///esm/react/utils.js:10:7:10:12""]] without guarding against prototype pollution.","/esm/react/utils.js","10","7","10","12"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///esm/svelte/utils.js:6:15:6:17""]] to [[""target""|""relative:///esm/svelte/utils.js:7:45:7:50""]] without guarding against prototype pollution.","/esm/svelte/utils.js","7","45","7","50"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///esm/svelte/utils.js:6:15:6:17""]] to [[""target""|""relative:///esm/svelte/utils.js:10:7:10:12""]] without guarding against prototype pollution.","/esm/svelte/utils.js","10","7","10","12"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///esm/vue/utils.js:6:15:6:17""]] to [[""target""|""relative:///esm/vue/utils.js:7:45:7:50""]] without guarding against prototype pollution.","/esm/vue/utils.js","7","45","7","50"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///esm/vue/utils.js:6:15:6:17""]] to [[""target""|""relative:///esm/vue/utils.js:10:7:10:12""]] without guarding against prototype pollution.","/esm/vue/utils.js","10","7","10","12"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///swiper-bundle.esm.browser.js:73:15:73:17""]] to [[""target""|""relative:///swiper-bundle.esm.browser.js:74:45:74:50""]] without guarding against prototype pollution.","/swiper-bundle.esm.browser.js","74","45","74","50"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""src""|""relative:///swiper-bundle.js:79:17:79:19""]] to [[""target""|""relative:///swiper-bundle.js:80:47:80:52""]] without guarding against prototype pollution.","/swiper-bundle.js","80","47","80","52"
